agency_name,city,state,agency_type,agency_latitude,agency_longitude,ft_sworn,agency_population,validated_week_name,record_month,validated_day,record_year
Spring Grove Police Department,Spring Grove,IL,Local Police Department,42.433838,-88.238304,10,12,Monday,November,12,2018
Mitchell County Sheriffs Department / Mitchell County Jail,Beloit,KS,Sheriff'S Office,39.458485,-98.10797,8,14,Friday,August,17,2018
Fayette County Sheriffs Department / Fayette County Jail,Connersville,IN,Sheriff'S Office,39.640453,-85.141136,11,35,Thursday,August,23,2018
Griffith Police Department,Griffith,IN,Local Police Department,41.52349,-87.42731,31,39,Thursday,August,23,2018
Gaines Township Police Department,Gaines,MI,Local Police Department,42.912144,-83.85955,1,1,Wednesday,February,6,2019
Victoria Police Department,Victoria,KS,Local Police Department,38.84771,-99.14808,2,2,Friday,August,17,2018
Marshall County Sheriff / Marshall County Jail,Lacon,IL,Sheriff'S Office,41.024975,-89.40705,12,21,Monday,November,12,2018
Wiscasset Police Department,Wiscasset,ME,Local Police Department,44.00531,-69.670525,3,4,Thursday,March,7,2019
Prince Georges County Community College Police,Largo,MD,Special Jurisdiction,38.888214,-76.82333,11,19,Tuesday,August,7,2018
Washington County Sheriffs Department,Washington,KS,Sheriff'S Office,39.81728,-97.04935,6,12,Monday,August,20,2018
Cass County Sheriffs Office,Virginia,IL,Sheriff'S Office,39.951454,-90.210846,6,7,Tuesday,October,30,2018
Mchenry Police Department,Mchenry,IL,Local Police Department,42.323765,-88.26877,47,66,Monday,November,12,2018
Gifford Village Police Department,Gifford,IL,Local Police Department,40.30691,-88.021065,1,1,Tuesday,October,30,2018
Hancock County Sheriffs Office / Hancock County Jail,Carthage,IL,Sheriff'S Office,40.415634,-91.146286,10,24,Monday,November,5,2018
Durand Police Department,Durand,IL,Local Police Department,42.436787,-89.3358,1,1,Tuesday,November,20,2018
Heyburn Police Department,Heyburn,ID,Local Police Department,42.5586,-113.75646,5,6,Wednesday,September,5,2018
Priest River Police Department,Priest River,ID,Local Police Department,48.179413,-116.9065,4,5,Friday,August,31,2018
Fairmount Heights Police Department,Fairmount Heights,MD,Local Police Department,38.901165,-76.911736,5,10,Tuesday,August,7,2018
Ballard County Sheriffs Office,Wickliffe,KY,Sheriff'S Office,36.965206,-89.08815,11,12,Friday,August,10,2018
Roscoe Police Department,Roscoe,IL,Local Police Department,42.41445,-89.00903,13,15,Tuesday,November,20,2018
Peotone Police Department,Peotone,IL,Local Police Department,41.333076,-87.78963,10,11,Monday,November,19,2018
